,Oak Park（Illinois）,Paris,Milano,Toronto,Chicago,Key West,Havana,Venice,Entebbe,New York,Ketchum
Oak Park（Illinois）,0,,,,,,,,,,
Paris,6667,0,,,,,,,,,
Milano,7307,640,0,,,,,,,,
Toronto,712,6006,6644,0,,,,,,,
Chicago,12,6661,7301,703,0,,,,,,
Key West,2007,7573,8173,2142,2000,0,,,,,
Havana,2147,7729,8326,2306,2140,170,0,,,,
Venice,7505,845,245,6849,7499,8405,8559,0,,,
Entebbe,12464,6149,5546,11752,12455,12455,12544,5424,0,,
New York,1158,5844,6471,556,1147,1939,2109,6688,11394,0,
Ketchum,2171,8034,8657,2792,2183,3643,3711,8807,14159,3312,0
